7.8568 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='grey', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=20, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 128.,  128.,  128.]), text='Niepoprawna odpowiedź', units='pix', win=Window(...), wrapWidth=500)
7.8695 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='grey', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=20, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 128.,  128.,  128.]), text='Nie udzieliłeś/aś odpowiedzi', units='pix', win=Window(...), wrapWidth=500)
7.8847 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='arial', fontFiles=[], height=20, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='Volume: before training', units='pix', win=Window(...), wrapWidth=1000)
9.0978 	DATA 	Keypress: space
9.6004 	INFO 	FIRST SOUND VOL: 0.5
10.4010 	INFO 	SECOND SOUND VOL: 0.8984375
11.2895 	DATA 	Keypress: right
13.0959 	INFO 	FIRST SOUND VOL: 0.5
13.6096 	DATA 	Keypress: q
13.6097 	EXP 	Global key event: safe_quit. Calling <function safe_quit at 0x7fafa84ec840>.
13.6159 	EXP 	window1: mouseVisible = True
13.6165 	EXP 	window1: mouseVisible = True
2.4547 	WARNING 	t of last frame was 1.44ms (=1/694)
2.5063 	WARNING 	t of last frame was 49.06ms (=1/20)
2.5131 	WARNING 	t of last frame was 2.08ms (=1/481)
2.5139 	WARNING 	t of last frame was 0.78ms (=1/1287)
2.5159 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
2.6953 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='grey', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=20, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([  0., -40.]), rgb=array([ 128.,  128.,  128.]), text='Volume: Answer Label', units='pix', win=Window(...), wrapWidth=500)
2.7220 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='grey', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=20, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([  0., -80.]), rgb=array([ 128.,  128.,  128.]), text=str(...), units='pix', win=Window(...), wrapWidth=500)
2.7336 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='grey', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=20, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 128.,  128.,  128.]), text='Poprawna odpowiedź', units='pix', win=Window(...), wrapWidth=500)
2.7450 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='grey', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=20, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 128.,  128.,  128.]), text='Niepoprawna odpowiedź', units='pix', win=Window(...), wrapWidth=500)
2.7588 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='grey', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=20, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 128.,  128.,  128.]), text='Nie udzieliłeś/aś odpowiedzi', units='pix', win=Window(...), wrapWidth=500)
2.7782 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='arial', fontFiles=[], height=20, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='Volume: before training', units='pix', win=Window(...), wrapWidth=1000)
7.1803 	DATA 	Keypress: space
7.6828 	INFO 	FIRST SOUND VOL: 0.5
8.4834 	INFO 	SECOND SOUND VOL: 0.09375
8.9172 	DATA 	Keypress: left
10.7240 	INFO 	FIRST SOUND VOL: 0.5
11.5244 	INFO 	SECOND SOUND VOL: 0.09375
11.8135 	DATA 	Keypress: left
13.6194 	INFO 	FIRST SOUND VOL: 0.5
14.4198 	INFO 	SECOND SOUND VOL: 0.8984375
14.7481 	DATA 	Keypress: right
16.5936 	INFO 	FIRST SOUND VOL: 0.5
17.3941 	INFO 	SECOND SOUND VOL: 0.8984375
17.6568 	DATA 	Keypress: right
19.4624 	INFO 	FIRST SOUND VOL: 0.5
20.2629 	INFO 	SECOND SOUND VOL: 0.8984375
20.5518 	DATA 	Keypress: right
22.3581 	INFO 	FIRST SOUND VOL: 0.5
23.1586 	INFO 	SECOND SOUND VOL: 0.09375
24.1095 	DATA 	Keypress: left
25.9157 	INFO 	FIRST SOUND VOL: 0.5
26.7162 	INFO 	SECOND SOUND VOL: 0.8984375
27.2728 	DATA 	Keypress: right
29.0795 	INFO 	FIRST SOUND VOL: 0.5
29.8800 	INFO 	SECOND SOUND VOL: 0.8984375
31.0196 	DATA 	Keypress: f7
31.5394 	DATA 	Keypress: q
31.5395 	EXP 	Global key event: safe_quit. Calling <function safe_quit at 0x7f25a774e840>.
31.5487 	EXP 	window1: mouseVisible = True
31.5492 	EXP 	window1: mouseVisible = True
4.7769 	WARNING 	t of last frame was 1.31ms (=1/760)
4.7776 	WARNING 	t of last frame was 0.70ms (=1/1434)
4.7808 	WARNING 	t of last frame was 2.09ms (=1/477)
4.7893 	WARNING 	t of last frame was 0.80ms (=1/1250)
4.9539 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='grey', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=20, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([  0., -40.]), rgb=array([ 128.,  128.,  128.]), text='Volume: Answer Label', units='pix', win=Window(...), wrapWidth=500)
4.9837 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='grey', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=20, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([  0., -80.]), rgb=array([ 128.,  128.,  128.]), text=str(...), units='pix', win=Window(...), wrapWidth=500)
4.9976 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='grey', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=20, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 128.,  128.,  128.]), text='Poprawna odpowiedź', units='pix', win=Window(...), wrapWidth=500)
5.0107 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='grey', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=20, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 128.,  128.,  128.]), text='Niepoprawna odpowiedź', units='pix', win=Window(...), wrapWidth=500)
5.0272 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='grey', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=20, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 128.,  128.,  128.]), text='Nie udzieliłeś/aś odpowiedzi', units='pix', win=Window(...), wrapWidth=500)
5.0513 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='arial', fontFiles=[], height=20, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='Volume: before training', units='pix', win=Window(...), wrapWidth=1000)
6.7806 	DATA 	Keypress: space
7.2874 	INFO 	FIRST SOUND VOL: 0.09375
8.0878 	INFO 	SECOND SOUND VOL: 0.5
8.3430 	DATA 	Keypress: right
10.1498 	INFO 	FIRST SOUND VOL: 0.09375
10.9503 	INFO 	SECOND SOUND VOL: 0.5
10.9756 	DATA 	Keypress: right
12.7819 	INFO 	FIRST SOUND VOL: 0.09375
13.5824 	INFO 	SECOND SOUND VOL: 0.5
13.8518 	DATA 	Keypress: right
